2025-06-16 17:58:49,059 - INFO - Frame 25: Sending 69 packets, total size 94760 bytes
2025-06-16 17:58:49,060 - INFO - Sent start of frame 25, total packets: 69
2025-06-16 17:58:49,141 - INFO - Sent end of frame 25, packet 68/68
2025-06-16 17:58:49,186 - INFO - Frame 26: Sending 69 packets, total size 95027 bytes
2025-06-16 17:58:49,187 - INFO - Sent start of frame 26, total packets: 69
2025-06-16 17:58:49,267 - INFO - Sent end of frame 26, packet 68/68
2025-06-16 17:58:49,311 - INFO - Frame 27: Sending 69 packets, total size 94748 bytes
2025-06-16 17:58:49,312 - INFO - Sent start of frame 27, total packets: 69
2025-06-16 17:58:49,392 - INFO - Sent end of frame 27, packet 68/68
2025-06-16 17:58:49,434 - INFO - Frame 28: Sending 70 packets, total size 96578 bytes
2025-06-16 17:58:49,434 - INFO - Sent start of frame 28, total packets: 70
2025-06-16 17:58:49,515 - INFO - Sent end of frame 28, packet 69/69
2025-06-16 17:58:49,559 - INFO - Frame 29: Sending 69 packets, total size 94906 bytes
2025-06-16 17:58:49,560 - INFO - Sent start of frame 29, total packets: 69
2025-06-16 17:58:49,689 - INFO - Sent end of frame 29, packet 68/68
2025-06-16 17:58:49,733 - INFO - Frame 30: Sending 69 packets, total size 95342 bytes
2025-06-16 17:58:49,733 - INFO - Sent start of frame 30, total packets: 69
2025-06-16 17:58:49,857 - INFO - Sent end of frame 30, packet 68/68
2025-06-16 17:58:49,899 - INFO - Frame 31: Sending 69 packets, total size 95146 bytes
2025-06-16 17:58:49,899 - INFO - Sent start of frame 31, total packets: 69
2025-06-16 17:58:49,979 - INFO - Sent end of frame 31, packet 68/68
2025-06-16 17:58:50,024 - INFO - Frame 32: Sending 70 packets, total size 96764 bytes
2025-06-16 17:58:50,025 - INFO - Sent start of frame 32, total packets: 70
2025-06-16 17:58:50,106 - INFO - Sent end of frame 32, packet 69/69
2025-06-16 17:58:50,146 - INFO - Frame 33: Sending 69 packets, total size 94993 bytes
2025-06-16 17:58:50,147 - INFO - Sent start of frame 33, total packets: 69
2025-06-16 17:58:50,227 - INFO - Sent end of frame 33, packet 68/68
2025-06-16 17:58:50,270 - INFO - Frame 34: Sending 69 packets, total size 95424 bytes
2025-06-16 17:58:50,271 - INFO - Sent start of frame 34, total packets: 69
2025-06-16 17:58:50,353 - INFO - Sent end of frame 34, packet 68/68
2025-06-16 17:58:50,397 - INFO - Frame 35: Sending 69 packets, total size 95279 bytes
2025-06-16 17:58:50,397 - INFO - Sent start of frame 35, total packets: 69
2025-06-16 17:58:50,479 - INFO - Sent end of frame 35, packet 68/68
2025-06-16 17:58:50,522 - INFO - Frame 36: Sending 70 packets, total size 96940 bytes
2025-06-16 17:58:50,522 - INFO - Sent start of frame 36, total packets: 70
2025-06-16 17:58:50,605 - INFO - Sent end of frame 36, packet 69/69
2025-06-16 17:58:50,647 - INFO - Frame 37: Sending 69 packets, total size 95030 bytes
2025-06-16 17:58:50,647 - INFO - Sent start of frame 37, total packets: 69
2025-06-16 17:58:50,727 - INFO - Sent end of frame 37, packet 68/68
2025-06-16 17:58:50,771 - INFO - Frame 38: Sending 69 packets, total size 95522 bytes
2025-06-16 17:58:50,771 - INFO - Sent start of frame 38, total packets: 69
2025-06-16 17:58:50,850 - INFO - Sent end of frame 38, packet 68/68
2025-06-16 17:58:50,892 - INFO - Frame 39: Sending 69 packets, total size 95203 bytes
2025-06-16 17:58:50,893 - INFO - Sent start of frame 39, total packets: 69
2025-06-16 17:58:50,974 - INFO - Sent end of frame 39, packet 68/68
2025-06-16 17:58:51,018 - INFO - Frame 40: Sending 70 packets, total size 97059 bytes
2025-06-16 17:58:51,018 - INFO - Sent start of frame 40, total packets: 70
2025-06-16 17:58:51,165 - INFO - Sent end of frame 40, packet 69/69
2025-06-16 17:58:51,209 - INFO - Frame 41: Sending 69 packets, total size 95215 bytes
2025-06-16 17:58:51,209 - INFO - Sent start of frame 41, total packets: 69
2025-06-16 17:58:51,292 - INFO - Sent end of frame 41, packet 68/68
2025-06-16 17:58:51,336 - INFO - Frame 42: Sending 69 packets, total size 95722 bytes
2025-06-16 17:58:51,337 - INFO - Sent start of frame 42, total packets: 69
2025-06-16 17:58:51,418 - INFO - Sent end of frame 42, packet 68/68
2025-06-16 17:58:51,461 - INFO - Frame 43: Sending 69 packets, total size 95676 bytes
2025-06-16 17:58:51,462 - INFO - Sent start of frame 43, total packets: 69
2025-06-16 17:58:51,542 - INFO - Sent end of frame 43, packet 68/68
2025-06-16 17:58:51,586 - INFO - Frame 44: Sending 71 packets, total size 97417 bytes
2025-06-16 17:58:51,586 - INFO - Sent start of frame 44, total packets: 71
2025-06-16 17:58:51,669 - INFO - Sent end of frame 44, packet 70/70
2025-06-16 17:58:51,712 - INFO - Frame 45: Sending 69 packets, total size 95542 bytes
2025-06-16 17:58:51,712 - INFO - Sent start of frame 45, total packets: 69
2025-06-16 17:58:51,792 - INFO - Sent end of frame 45, packet 68/68
2025-06-16 17:58:51,836 - INFO - Frame 46: Sending 70 packets, total size 95822 bytes
2025-06-16 17:58:51,836 - INFO - Sent start of frame 46, total packets: 70
2025-06-16 17:58:51,918 - INFO - Sent end of frame 46, packet 69/69
2025-06-16 17:58:51,962 - INFO - Frame 47: Sending 69 packets, total size 95623 bytes
2025-06-16 17:58:51,963 - INFO - Sent start of frame 47, total packets: 69
2025-06-16 17:58:52,044 - INFO - Sent end of frame 47, packet 68/68
2025-06-16 17:58:52,085 - INFO - Frame 48: Sending 71 packets, total size 97300 bytes
2025-06-16 17:58:52,085 - INFO - Sent start of frame 48, total packets: 71
2025-06-16 17:58:52,167 - INFO - Sent end of frame 48, packet 70/70
2025-06-16 17:58:52,208 - INFO - Frame 49: Sending 69 packets, total size 95648 bytes
2025-06-16 17:58:52,209 - INFO - Sent start of frame 49, total packets: 69
2025-06-16 17:58:52,291 - INFO - Sent end of frame 49, packet 68/68
2025-06-16 17:58:52,337 - INFO - Frame 50: Sending 70 packets, total size 95809 bytes
2025-06-16 17:58:52,337 - INFO - Sent start of frame 50, total packets: 70
2025-06-16 17:58:52,419 - INFO - Sent end of frame 50, packet 69/69
2025-06-16 17:58:52,459 - INFO - Frame 51: Sending 70 packets, total size 95900 bytes
2025-06-16 17:58:52,459 - INFO - Sent start of frame 51, total packets: 70
2025-06-16 17:58:52,541 - INFO - Sent end of frame 51, packet 69/69
2025-06-16 17:58:52,585 - INFO - Frame 52: Sending 71 packets, total size 97922 bytes
2025-06-16 17:58:52,585 - INFO - Sent start of frame 52, total packets: 71
2025-06-16 17:58:52,669 - INFO - Sent end of frame 52, packet 70/70
2025-06-16 17:58:52,710 - INFO - Frame 53: Sending 70 packets, total size 95942 bytes
2025-06-16 17:58:52,711 - INFO - Sent start of frame 53, total packets: 70
2025-06-16 17:58:52,792 - INFO - Sent end of frame 53, packet 69/69
2025-06-16 17:58:52,836 - INFO - Frame 54: Sending 70 packets, total size 96733 bytes
2025-06-16 17:58:52,836 - INFO - Sent start of frame 54, total packets: 70
2025-06-16 17:58:52,918 - INFO - Sent end of frame 54, packet 69/69
2025-06-16 17:58:52,961 - INFO - Frame 55: Sending 70 packets, total size 96387 bytes
2025-06-16 17:58:52,961 - INFO - Sent start of frame 55, total packets: 70
2025-06-16 17:58:53,096 - INFO - Sent end of frame 55, packet 69/69
2025-06-16 17:58:53,140 - INFO - Frame 56: Sending 71 packets, total size 98421 bytes
2025-06-16 17:58:53,140 - INFO - Sent start of frame 56, total packets: 71
2025-06-16 17:58:53,222 - INFO - Sent end of frame 56, packet 70/70
2025-06-16 17:58:53,266 - INFO - Frame 57: Sending 70 packets, total size 96440 bytes
2025-06-16 17:58:53,266 - INFO - Sent start of frame 57, total packets: 70
2025-06-16 17:58:53,347 - INFO - Sent end of frame 57, packet 69/69
2025-06-16 17:58:53,391 - INFO - Frame 58: Sending 70 packets, total size 96662 bytes
2025-06-16 17:58:53,391 - INFO - Sent start of frame 58, total packets: 70
2025-06-16 17:58:53,473 - INFO - Sent end of frame 58, packet 69/69
2025-06-16 17:58:53,512 - INFO - Frame 59: Sending 70 packets, total size 96335 bytes
2025-06-16 17:58:53,513 - INFO - Sent start of frame 59, total packets: 70
2025-06-16 17:58:53,594 - INFO - Sent end of frame 59, packet 69/69
2025-06-16 17:58:53,638 - INFO - Frame 60: Sending 71 packets, total size 98130 bytes
2025-06-16 17:58:53,638 - INFO - Sent start of frame 60, total packets: 71
2025-06-16 17:58:53,721 - INFO - Sent end of frame 60, packet 70/70
2025-06-16 17:58:53,764 - INFO - Frame 61: Sending 70 packets, total size 96130 bytes
2025-06-16 17:58:53,764 - INFO - Sent start of frame 61, total packets: 70
2025-06-16 17:58:53,847 - INFO - Sent end of frame 61, packet 69/69
2025-06-16 17:58:53,891 - INFO - Frame 62: Sending 70 packets, total size 96667 bytes
2025-06-16 17:58:53,892 - INFO - Sent start of frame 62, total packets: 70
2025-06-16 17:58:54,011 - INFO - Sent end of frame 62, packet 69/69
2025-06-16 17:58:54,054 - INFO - Frame 63: Sending 70 packets, total size 96449 bytes
2025-06-16 17:58:54,054 - INFO - Sent start of frame 63, total packets: 70
2025-06-16 17:58:54,139 - INFO - Sent end of frame 63, packet 69/69
2025-06-16 17:58:54,178 - INFO - Frame 64: Sending 72 packets, total size 98571 bytes
2025-06-16 17:58:54,178 - INFO - Sent start of frame 64, total packets: 72
2025-06-16 17:58:54,264 - INFO - Sent end of frame 64, packet 71/71
2025-06-16 17:58:54,309 - INFO - Frame 65: Sending 70 packets, total size 96594 bytes
2025-06-16 17:58:54,309 - INFO - Sent start of frame 65, total packets: 70
2025-06-16 17:58:54,391 - INFO - Sent end of frame 65, packet 69/69
2025-06-16 17:58:54,435 - INFO - Frame 66: Sending 70 packets, total size 96855 bytes
2025-06-16 17:58:54,435 - INFO - Sent start of frame 66, total packets: 70
2025-06-16 17:58:54,555 - INFO - Sent end of frame 66, packet 69/69
2025-06-16 17:58:54,638 - INFO - Frame 67: Sending 70 packets, total size 96776 bytes
2025-06-16 17:58:54,638 - INFO - Sent start of frame 67, total packets: 70
2025-06-16 17:58:54,766 - INFO - Sent end of frame 67, packet 69/69
2025-06-16 17:58:54,810 - INFO - Frame 68: Sending 72 packets, total size 98861 bytes
2025-06-16 17:58:54,810 - INFO - Sent start of frame 68, total packets: 72
2025-06-16 17:58:54,895 - INFO - Sent end of frame 68, packet 71/71
2025-06-16 17:58:54,938 - INFO - Frame 69: Sending 70 packets, total size 96489 bytes
2025-06-16 17:58:54,938 - INFO - Sent start of frame 69, total packets: 70
2025-06-16 17:58:55,111 - INFO - Sent end of frame 69, packet 69/69
2025-06-16 17:58:55,154 - INFO - Frame 70: Sending 70 packets, total size 97117 bytes
2025-06-16 17:58:55,155 - INFO - Sent start of frame 70, total packets: 70
2025-06-16 17:58:55,239 - INFO - Sent end of frame 70, packet 69/69
2025-06-16 17:58:55,283 - INFO - Frame 71: Sending 70 packets, total size 97032 bytes
2025-06-16 17:58:55,284 - INFO - Sent start of frame 71, total packets: 70
2025-06-16 17:58:55,365 - INFO - Sent end of frame 71, packet 69/69
2025-06-16 17:58:55,409 - INFO - Frame 72: Sending 72 packets, total size 99224 bytes
2025-06-16 17:58:55,409 - INFO - Sent start of frame 72, total packets: 72
2025-06-16 17:58:55,494 - INFO - Sent end of frame 72, packet 71/71
2025-06-16 17:58:55,538 - INFO - Frame 73: Sending 71 packets, total size 97389 bytes
2025-06-16 17:58:55,539 - INFO - Sent start of frame 73, total packets: 71
2025-06-16 17:58:55,622 - INFO - Sent end of frame 73, packet 70/70
2025-06-16 17:58:55,663 - INFO - Frame 74: Sending 71 packets, total size 97688 bytes
2025-06-16 17:58:55,663 - INFO - Sent start of frame 74, total packets: 71
2025-06-16 17:58:55,747 - INFO - Sent end of frame 74, packet 70/70
2025-06-16 17:58:55,789 - INFO - Frame 75: Sending 71 packets, total size 97287 bytes
2025-06-16 17:58:55,790 - INFO - Sent start of frame 75, total packets: 71
2025-06-16 17:58:55,871 - INFO - Sent end of frame 75, packet 70/70
2025-06-16 17:58:55,916 - INFO - Frame 76: Sending 72 packets, total size 99369 bytes
2025-06-16 17:58:55,916 - INFO - Sent start of frame 76, total packets: 72
2025-06-16 17:58:56,001 - INFO - Sent end of frame 76, packet 71/71
2025-06-16 17:58:56,044 - INFO - Frame 77: Sending 71 packets, total size 97318 bytes
2025-06-16 17:58:56,044 - INFO - Sent start of frame 77, total packets: 71
2025-06-16 17:58:56,128 - INFO - Sent end of frame 77, packet 70/70
2025-06-16 17:58:56,173 - INFO - Frame 78: Sending 71 packets, total size 98068 bytes
2025-06-16 17:58:56,173 - INFO - Sent start of frame 78, total packets: 71
2025-06-16 17:58:56,350 - INFO - Sent end of frame 78, packet 70/70
2025-06-16 17:58:56,392 - INFO - Frame 79: Sending 71 packets, total size 97733 bytes
2025-06-16 17:58:56,392 - INFO - Sent start of frame 79, total packets: 71
2025-06-16 17:58:56,477 - INFO - Sent end of frame 79, packet 70/70
2025-06-16 17:58:56,519 - INFO - Frame 80: Sending 72 packets, total size 99792 bytes
2025-06-16 17:58:56,520 - INFO - Sent start of frame 80, total packets: 72
2025-06-16 17:58:56,604 - INFO - Sent end of frame 80, packet 71/71
2025-06-16 17:58:56,665 - INFO - Frame 81: Sending 71 packets, total size 97786 bytes
2025-06-16 17:58:56,665 - INFO - Sent start of frame 81, total packets: 71
2025-06-16 17:58:56,754 - INFO - Sent end of frame 81, packet 70/70
2025-06-16 17:58:56,793 - INFO - Frame 82: Sending 71 packets, total size 98472 bytes
2025-06-16 17:58:56,794 - INFO - Sent start of frame 82, total packets: 71
2025-06-16 17:58:56,874 - INFO - Sent end of frame 82, packet 70/70
2025-06-16 17:58:56,917 - INFO - Frame 83: Sending 71 packets, total size 98201 bytes
2025-06-16 17:58:56,918 - INFO - Sent start of frame 83, total packets: 71
2025-06-16 17:58:57,002 - INFO - Sent end of frame 83, packet 70/70
2025-06-16 17:58:57,048 - INFO - Frame 84: Sending 73 packets, total size 100276 bytes
2025-06-16 17:58:57,049 - INFO - Sent start of frame 84, total packets: 73
2025-06-16 17:58:57,134 - INFO - Sent end of frame 84, packet 72/72
2025-06-16 17:58:57,174 - INFO - Frame 85: Sending 71 packets, total size 98012 bytes
2025-06-16 17:58:57,175 - INFO - Sent start of frame 85, total packets: 71
2025-06-16 17:58:57,258 - INFO - Sent end of frame 85, packet 70/70
2025-06-16 17:58:57,303 - INFO - Frame 86: Sending 72 packets, total size 98635 bytes
2025-06-16 17:58:57,303 - INFO - Sent start of frame 86, total packets: 72
2025-06-16 17:58:57,389 - INFO - Sent end of frame 86, packet 71/71
2025-06-16 17:58:57,428 - INFO - Frame 87: Sending 71 packets, total size 98351 bytes
2025-06-16 17:58:57,429 - INFO - Sent start of frame 87, total packets: 71
2025-06-16 17:58:57,513 - INFO - Sent end of frame 87, packet 70/70
2025-06-16 17:58:57,557 - INFO - Frame 88: Sending 73 packets, total size 100351 bytes
2025-06-16 17:58:57,557 - INFO - Sent start of frame 88, total packets: 73
2025-06-16 17:58:57,644 - INFO - Sent end of frame 88, packet 72/72
2025-06-16 17:58:57,687 - INFO - Frame 89: Sending 73 packets, total size 100141 bytes
2025-06-16 17:58:57,687 - INFO - Sent start of frame 89, total packets: 73
2025-06-16 17:58:57,772 - INFO - Sent end of frame 89, packet 72/72
2025-06-16 17:58:57,816 - INFO - Frame 90: Sending 73 packets, total size 100874 bytes
2025-06-16 17:58:57,816 - INFO - Sent start of frame 90, total packets: 73
2025-06-16 17:58:57,902 - INFO - Sent end of frame 90, packet 72/72
2025-06-16 17:58:57,945 - INFO - Frame 91: Sending 72 packets, total size 98807 bytes
2025-06-16 17:58:57,945 - INFO - Sent start of frame 91, total packets: 72
